name,lat,lng,aliases
Aama Secondary School,27.42246,83.26667,aama secondary school/aama/आमा माध्यमिक विद्यालय
AMDA Institute of Health Sciences,27.69193,83.47916,amda/amda butwal/amda nursing/अम्डा बुटवल
Baal Secondary School,27.68944,83.18431,baal secondary school/baal/बाल माध्यमिक विद्यालय
Bal Netra Academy,27.5099,83.45218,bal netra academy/bal netra/बाल नेत्र एकेडेमी
Balrampur Secondary School,27.43965,83.29623,balrampur secondary school/balrampur/बलरामपुर माध्यमिक विद्यालय
Bhabishya Secondary School,27.58824,83.56562,bhabishya secondary school/bhabishya/भविष्य माध्यमिक विद्यालय
Bhairahawa Multiple Campus,27.50572,83.46335,bhairahawa campus/bhairahawa multiple/bhairawa campus/bhairahwa/BMC/भैरहवा बहुमुखी क्याम्पस
Buddha Academy English Boarding,27.45598,83.18858,buddha academy english boarding/buddha/बुद्ध एकेडेमी इङ्लिस बोर्डिङ
Buddha Adarse Secondary School,27.45378,83.26324,buddha adarse secondary school/buddha adarse/बुद्ध आदर्श माध्यमिक विद्यालय
Buddha Secondary School,27.50892,83.45595,buddha secondary school/buddha/बुद्ध माध्यमिक विद्यालय
Creative Child Academy,27.52939,83.38879,creative child academy/creative child/क्रिएटिभ चाइल्ड एकेडेमी
Crimson College of Technology,27.68689,83.45929,CCT/crimson college/crimson butwal/क्रिम्सन कलेज
Devdaha Higher Secondary School,27.65077,83.57368,devdaha higher secondary school/devdaha/देवदह उच्च माध्यमिक विद्यालय
Devdaha Medical College,27.64676,83.54014,DMC/devdaha medical/medical college devdaha/देवदह मेडिकल कलेज
Dobhan Secondary School,27.74966,83.45942,dobhan secondary school/dobhan/दोभान माध्यमिक विद्यालय
Durga Model Academy,27.51649,83.37888,durga model academy/durga model/दुर्गा मोडेल एकेडेमी
Evergreen English Secondary School,27.59584,83.2512,evergreen english secondary school/evergreen/एभरग्रिन इङ्लिस माध्यमिक विद्यालय
Farsatikar Siddhartha Secondary School,27.62815,83.39883,farsatikar siddhartha secondary school/farsatikar siddhartha/फर्साटिकार सिद्धार्थ माध्यमिक विद्यालय
Gajedi Secondary School,27.64451,83.27536,gajedi secondary school/gajedi/गजेडी माध्यमिक विद्यालय
Gautam Buddha Lower Secondary School,27.44214,83.27899,gautam buddha lower secondary school/gautam buddha/गौतम बुद्ध निम्न माध्यमिक विद्यालय
Global Wisdom Academy,27.41831,83.38239,global wisdom academy/global wisdom/ग्लोबल विज्डम एकेडेमी
Glorious College,27.68346,83.46097,glorious butwal/ग्लोरियस कलेज
Gurukul Technical College,27.56246,83.56766,gurukul/गुरुकुल प्राविधिक कलेज
Gyanodaya Secondary School,27.79552,83.40157,gyanodaya secondary school/gyanodaya/ज्ञानोदय माध्यमिक विद्यालय
Haji Anatullha Higher Secondary School,27.49611,83.33464,haji anatullha higher secondary school/haji anatullha
Haraiya Multiple Campus,27.59646,83.24798,haraiya campus/हरैया बहुमुखी क्याम्पस
Janakalyan Secondary School,27.70492,83.30061,janakalyan secondary school/janakalyan/जनकल्याण माध्यमिक विद्यालय
Janata Secondary School Devdaha,27.63797,83.5708,janata secondary school devdaha/janata devdaha/जनता माध्यमिक विद्यालय देवदह
Jyoti Higher Secondary School,27.60169,83.58235,jyoti higher secondary school/jyoti/ज्योति उच्च माध्यमिक विद्यालय
Jyoti Lower Secondary School,27.62857,83.49766,jyoti lower secondary school/jyoti/ज्योति निम्न माध्यमिक विद्यालय
Karmhawa Secondary School,27.52764,83.28044,karmhawa secondary school/karmhawa/कर्महवा माध्यमिक विद्यालय
Karuna Girls College,27.46927,83.28909,karuna girls/karuna college/करुणा गर्ल्स कलेज
Kasmas Academy,27.53704,83.53139,kasmas academy/kasmas/कस्मस एकेडेमी
Lifeline Educational Academy E.school,27.3563,83.34897,lifeline educational academy e.school/lifeline educational
Little Flower Higher Secondary School,27.63121,83.40594,little flower higher secondary school/little flower/लिटल फ्लावर उच्च माध्यमिक विद्यालय
Lord Buddha Academy,27.54649,83.41141,lord buddha academy/lord buddha/लर्ड बुद्ध एकेडेमी
Lumbini Banijya Campus,27.68729,83.45692,LBC/banijya campus/lumbini commerce/banijya butwal/लुम्बिनी बाणिज्य क्याम्पस/बाणिज्य क्याम्पस
Lumbini Engineering College,27.60594,83.46828,LEC/lumbini engineering/engineering college butwal/लुम्बिनी इन्जिनियरिङ कलेज
Lumbini Institute and Research Center,27.49708,83.45821,lumbini institute/लुम्बिनी इन्स्टिच्युट
Lumbini Lower Secondary School,27.47365,83.30392,lumbini lower secondary school/lumbini/लुम्बिनी निम्न माध्यमिक विद्यालय
Madarasa Jamiyasaidajohorul Islam Girls College,27.36309,83.36749,madarasa jamiyasaidajohorul islam girls college/madarasa jamiyasaidajohorul islam girls
Madhubani Secondary School,27.47328,83.29364,madhubani secondary school/madhubani/मधुबनी माध्यमिक विद्यालय
Malardevi Secondary School,27.60699,83.23114,malardevi secondary school/malardevi/मलारदेवी माध्यमिक विद्यालय
Malmala Devi Secondary School -05,27.6996,83.31808,malmala devi secondary school -05/malmala devi -05/मलमला देवी माध्यमिक विद्यालय
Modern English Academy,27.69105,83.32748,modern english academy/modern/मोडर्न इङ्लिस एकेडेमी
Modren Vision Academy School,27.59809,83.25056,modren vision academy school/modren vision/मोडर्न भिजन एकेडेमी विद्यालय
Mordern Genaration Academy,27.48777,83.5951,mordern genaration academy/mordern genaration/मोडर्न जेनेरेशन एकेडेमी
Motherland Academy,27.63025,83.55644,motherland academy/motherland/मदरल्यान्ड एकेडेमी
Nabin Audhyogik Kadar Bahadur Rita Secondary School,27.68688,83.45806,nabin audhyogik kadar bahadur rita secondary school/nabin audhyogik kadar bahadur rita
Nepal Nalanda Secondary English Boarding School,27.51789,83.46204,nepal nalanda secondary english boarding school/nepal nalanda/नेपाल नालन्दा माध्यमिक इङ्लिस बोर्डिङ विद्यालय
New Environment English Secondary School,27.63033,83.47601,new environment english secondary school/new environment/न्यु इन्भाइरोमेन्ट इङ्लिस माध्यमिक विद्यालय
New Moon Academy,27.53571,83.46257,new moon academy/new moon/न्यु मुन एकेडेमी
